trades,wins,losses,win_rate,profit_factor,net_profit_pct,max_drawdown_pct,expectancy_pct,avg_trade_pct,best_trade_pct,worst_trade_pct,strategy,symbol,interval,provider,candles,params,params_label,composite_score
55,22,33,40.0,0.72,-12.78,13.34,-0.087,-0.087,1.41,-1.46,gaussian_v62_profile,BTCUSDT,15m,bitget,2000,{},base,-2.997
64,21,43,32.81,0.92,-11.92,16.12,-0.027,-0.027,3.39,-1.49,gaussian_v62_profile,COMPUSDT,15m,bitget,2000,{},base,-3.1056
56,23,33,41.07,0.82,-11.96,17.18,-0.071,-0.071,1.83,-2.24,gaussian_v62_profile,FILUSDT,15m,bitget,2000,{},base,-3.2852
66,29,37,43.94,1.01,-12.03,20.79,0.005,0.005,5.79,-6.15,gaussian_v62_profile,RESOLVUSDT,15m,bitget,2000,{},base,-3.3779
48,19,29,39.58,0.35,-12.74,12.98,-0.13,-0.13,0.34,-0.48,gaussian_v62_profile,TRXUSDT,15m,bitget,2000,{},base,-3.6075
52,24,28,46.15,0.74,-13.83,16.14,-0.131,-0.131,2.09,-2.65,gaussian_v62_profile,TIAUSDT,15m,bitget,2000,{},base,-3.6215
54,26,28,48.15,0.84,-13.17,18.76,-0.098,-0.098,2.78,-3.32,gaussian_v62_profile,APTUSDT,15m,bitget,2000,{},base,-3.6345
56,22,34,39.29,0.7,-13.72,15.21,-0.102,-0.102,1.37,-1.56,gaussian_v62_profile,AVAXUSDT,15m,bitget,2000,{},base,-3.7044
56,25,31,44.64,0.93,-11.52,22.22,-0.046,-0.046,3.39,-3.09,gaussian_v62_profile,VIRTUALUSDT,15m,bitget,2000,{},base,-3.7704
48,18,30,37.5,0.65,-14.31,14.17,-0.163,-0.163,2.14,-1.95,gaussian_v62_profile,POLUSDT,15m,bitget,2000,{},base,-3.78
53,22,31,41.51,0.87,-12.87,19.89,-0.092,-0.092,5.27,-6.15,gaussian_v62_profile,HUSDT,15m,bitget,2000,{},base,-3.9791
62,24,38,38.71,0.75,-15.27,16.09,-0.106,-0.106,6.86,-6.15,gaussian_v62_profile,XAIUSDT,15m,bitget,2000,{},base,-4.1991
58,24,34,41.38,0.69,-15.34,15.69,-0.131,-0.131,1.61,-1.87,gaussian_v62_profile,HBARUSDT,15m,bitget,2000,{},base,-4.1998
48,19,29,39.58,0.93,-12.28,23.95,-0.065,-0.065,7.58,-6.15,gaussian_v62_profile,UAIUSDT,15m,bitget,2000,{},base,-4.3649
67,24,43,35.82,0.7,-16.22,17.39,-0.111,-0.111,1.45,-2.44,gaussian_v62_profile,AVNTUSDT,15m,bitget,2000,{},base,-4.9222
50,18,32,36.0,0.63,-15.59,16.87,-0.179,-0.179,2.27,-3.84,gaussian_v62_profile,PIUSDT,15m,bitget,2000,{},base,-4.9295
58,25,33,43.1,0.71,-16.19,18.86,-0.137,-0.137,1.82,-3.03,gaussian_v62_profile,GALAUSDT,15m,bitget,2000,{},base,-4.9495
40,17,23,42.5,0.83,-14.46,28.2,-0.196,-0.196,4.78,-6.15,gaussian_v62_profile,OPNUSDT,15m,bitget,1706,{},base,-5.0296
41,14,27,34.15,0.81,-14.81,26.29,-0.205,-0.205,4.75,-6.15,gaussian_v62_profile,PIPPINUSDT,15m,bitget,2000,{},base,-5.2353
63,27,36,42.86,0.77,-17.87,19.35,-0.149,-0.149,2.93,-3.96,gaussian_v62_profile,XPLUSDT,15m,bitget,2000,{},base,-5.3811
60,25,35,41.67,0.77,-16.11,22.52,-0.132,-0.132,2.93,-3.05,gaussian_v62_profile,ENAUSDT,15m,bitget,2000,{},base,-5.5887
48,23,25,47.92,0.64,-18.09,20.24,-0.249,-0.249,3.24,-6.15,gaussian_v62_profile,SAHARAUSDT,15m,bitget,2000,{},base,-5.6368
54,19,35,35.19,0.66,-17.54,20.09,-0.185,-0.185,2.16,-2.73,gaussian_v62_profile,WIFUSDT,15m,bitget,2000,{},base,-6.0454
58,21,37,36.21,0.64,-18.36,20.05,-0.184,-0.184,2.04,-2.46,gaussian_v62_profile,ARBUSDT,15m,bitget,2000,{},base,-6.2396
