trades,wins,losses,win_rate,profit_factor,net_profit_pct,max_drawdown_pct,expectancy_pct,avg_trade_pct,best_trade_pct,worst_trade_pct,strategy,symbol,interval,provider,candles,params,params_label,composite_score
12,6,6,50.0,1.08,-1.63,4.81,0.033,0.033,1.83,-1.81,gaussian_v75_profile,FILUSDT,15m,bitget,2000,{},base,0.6856
8,4,4,50.0,1.35,0.79,6.15,0.304,0.304,6.86,-6.15,gaussian_v61_profile,XAIUSDT,15m,bitget,2000,{},base,0.6841
8,4,4,50.0,1.35,0.79,6.15,0.304,0.304,6.86,-6.15,gaussian_v75_profile,XAIUSDT,15m,bitget,2000,{},base,0.6841
19,8,11,42.11,1.05,-2.47,7.49,0.025,0.025,2.4,-2.47,gaussian_v61_profile,ADAUSDT,15m,bitget,2000,{},base,0.6532
19,8,11,42.11,1.05,-2.47,7.49,0.025,0.025,2.4,-2.47,gaussian_v75_profile,ADAUSDT,15m,bitget,2000,{},base,0.6532
14,7,7,50.0,0.93,-2.43,4.67,-0.024,-0.024,1.12,-1.53,gaussian_v61_profile,MMTUSDT,15m,bitget,2000,{},base,0.6357
14,7,7,50.0,0.93,-2.43,4.67,-0.024,-0.024,1.12,-1.53,gaussian_v75_profile,MMTUSDT,15m,bitget,2000,{},base,0.6357
15,8,7,53.33,1.22,0.99,17.11,0.288,0.288,7.58,-6.15,gaussian_v61_profile,UAIUSDT,15m,bitget,2000,{},base,0.5924
15,8,7,53.33,1.22,0.99,17.11,0.288,0.288,7.58,-6.15,gaussian_v75_profile,UAIUSDT,15m,bitget,2000,{},base,0.5924
48,21,27,43.75,1.08,-6.36,8.84,0.024,0.024,2.09,-1.93,gaussian_v62_profile,XRPUSDT,15m,bitget,2000,{},base,0.576
50,25,25,50.0,1.13,-5.44,12.29,0.048,0.048,3.48,-2.34,gaussian_v62_profile,UNIUSDT,15m,bitget,2000,{},base,0.538
16,9,7,56.25,0.8,-3.7,5.46,-0.081,-0.081,1.11,-2.01,gaussian_v61_profile,SEIUSDT,15m,bitget,2000,{},base,0.5347
16,9,7,56.25,0.8,-3.7,5.46,-0.081,-0.081,1.11,-2.01,gaussian_v75_profile,SEIUSDT,15m,bitget,2000,{},base,0.5347
9,6,3,66.67,0.82,-2.05,3.75,-0.076,-0.076,1.5,-1.72,gaussian_v61_profile,TIAUSDT,15m,bitget,2000,{},base,0.5206
9,6,3,66.67,0.82,-2.05,3.75,-0.076,-0.076,1.5,-1.72,gaussian_v75_profile,TIAUSDT,15m,bitget,2000,{},base,0.5206
8,4,4,50.0,1.04,-1.14,3.49,0.016,0.016,1.93,-2.34,gaussian_v61_profile,UNIUSDT,15m,bitget,2000,{},base,0.5006
8,4,4,50.0,1.04,-1.14,3.49,0.016,0.016,1.93,-2.34,gaussian_v75_profile,UNIUSDT,15m,bitget,2000,{},base,0.5006
