symbol,baseCoin,granularity,profile,lookback_days,bars,trades,wins,losses,win_rate_pct,profit_factor,gross_profit_pct,gross_loss_pct,avg_trade_pct,avg_win_pct,avg_loss_pct,expectancy_pct,max_drawdown_pct,net_return_pct,quality_score,last_close,trend_state,last_signal,last_bar_utc
SPACEUSDT,SPACE,15m,Manual,30,2781,25,15,10,60.0,2.3142,77.2301,-33.3719,1.7543,5.1487,-3.3372,1.7543,-11.3208,48.1897,12.2652,0.0071,SHORT,NONE,2026-03-13T11:45:00+00:00
ROSEUSDT,ROSE,15m,Manual,30,2781,31,16,15,51.6129,2.0932,53.7545,-25.6804,0.9056,3.3597,-1.712,0.9056,-9.0476,30.3034,11.9409,0.01257,LONG,NONE,2026-03-13T11:45:00+00:00
LAYERUSDT,LAYER,15m,Manual,30,2781,33,22,11,66.6667,2.2314,50.0809,-22.4438,0.8375,2.2764,-2.0403,0.8375,-13.182,29.9885,11.2851,0.0849,LONG,NONE,2026-03-13T11:30:00+00:00
PHAUSDT,PHA,15m,Manual,30,2781,35,24,11,68.5714,3.2743,84.9759,-25.9527,1.6864,3.5407,-2.3593,1.6864,-20.8906,73.8158,10.7476,0.03116,LONG,NONE,2026-03-13T11:45:00+00:00
XMRUSDT,XMR,15m,Manual,30,2781,27,14,13,51.8519,1.7159,29.6457,-17.2775,0.4581,2.1176,-1.329,0.4581,-8.3383,12.2663,10.6704,359.57,LONG,NONE,2026-03-13T11:45:00+00:00
FUNUSDT,FUN,15m,Manual,30,2781,38,22,16,57.8947,2.0407,89.9244,-44.0652,1.2068,4.0875,-2.7541,1.2068,-11.2485,52.1943,10.5032,0.0383,SHORT,NONE,2026-03-13T11:30:00+00:00
SIRENUSDT,SIREN,15m,Manual,30,2781,19,11,8,57.8947,2.1596,83.5517,-38.6882,2.3612,7.5956,-4.836,2.3612,-11.3208,48.2265,10.492,0.58731,LONG,NONE,2026-03-13T11:45:00+00:00
B2USDT,B2,15m,Manual,30,2781,38,22,16,57.8947,1.2504,24.1047,-19.2779,0.127,1.0957,-1.2049,0.127,-7.0628,4.5542,10.2497,0.6965,SHORT,NONE,2026-03-13T11:30:00+00:00
LYNUSDT,LYN,15m,Manual,30,2781,26,16,10,61.5385,2.0164,80.047,-39.6973,1.5519,5.0029,-3.9697,1.5519,-12.1741,43.3418,10.1926,0.29603,SHORT,NONE,2026-03-13T11:30:00+00:00
CTCUSDT,CTC,15m,Manual,30,2781,48,29,19,60.4167,2.3726,60.1473,-25.3507,0.7249,2.074,-1.3342,0.7249,-14.153,38.9873,10.1282,0.1588,LONG,NONE,2026-03-13T11:30:00+00:00
